Column1,affiliation_id,nama_pt,jml_dokumen_institusi,jml_dokumen_afiliasi_only,jml_author,asal_kota_pt,provinsi_pt,flag,date_in,date_up,user_in,user_up,is_deleted
190,60108267,"
University of Merdeka Malang
",180,180,126,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
192,60107583,"
Universitas Kanjuruhan Malang
",176,176,86,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
207,60107590,"
Universitas Ma Chung
",155,155,80,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
223,60108485,"
Universitas Widyagama Malang
",135,135,89,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
450,60123795,"
STMIK Asia Malang
",10,10,5,Malang,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
382,60087578,"
Pusat Penelitian Perkebunan Gula Indonesia
",31,31,23,Pasuruan,Jawa timur,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
199,60272378,"
Universitas Muhammadiyah Ponorogo
",162,162,102,Ponorogo,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
322,60113942,"
University of Darussalam Gontor
",54,54,53,Ponorogo,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
327,60203738,"
Institut Agama Islam Negeri Ponorogo
",52,52,42,Ponorogo,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
135,60107785,"
Universitas Muhammadiyah Sidoarjo
",313,313,271,Sidoarjo,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
364,60134865,"
Universitas Ibrahimy, Situbondo
",37,37,23,Situbondo Regency,Jawa TImur,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
3,60069383,"
Universitas Airlangga
",13655,13655,9561,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
5,60070707,"
Institut Teknologi Sepuluh Nopember
",11425,11425,6935,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
29,60105082,"
Universitas Negeri Surabaya
",2337,2337,1470,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
46,60104961,"
Politeknik Elektronika Negeri Surabaya
",1297,1297,1116,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
59,60104303,"
Universitas Surabaya
",1015,1015,661,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
81,60069423,"
Widya Mandala Surabaya Catholic University
",629,629,427,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
86,60105964,"
Universitas Pembangunan Nasional Veteran Jawa Timur
",556,556,473,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
109,60111825,"
Universitas Nahdlatul Ulama Surabaya
",407,407,261,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
117,60110822,"
UIN Sunan Ampel Surabaya
",380,380,270,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
141,60115318,"
Narotama University
",298,298,151,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
144,60112398,"
Universitas Wijaya Kusuma Surabaya
",294,294,198,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
148,60106855,"
Universitas Hang Tuah Surabaya
",282,282,249,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
154,60109851,"
Politeknik Perkapalan Negeri Surabaya
",274,274,209,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
155,60111800,"
Institut Teknologi Adhi Tama Surabaya
",267,267,217,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
160,60110997,"
Universitas Muhammadiyah Surabaya
",263,263,217,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
181,60110785,"
Health Polytechnic of the Health Ministry of Surabaya
",197,197,168,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
189,60165301,"
Universitas PGRI Adi Buana Surabaya
",188,188,100,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
193,60105952,"
Universitas Ciputra
",174,174,136,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
206,60109324,"
Universitas Dr. Soetomo
",155,155,75,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
255,60110838,"
Universitas Bhayangkara Surabaya
",97,97,52,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
261,60120631,"
Institut Teknologi Telkom Surabaya
",91,91,77,Surabaya,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
287,60267365,"
Universitas 45 Surabaya
",76,76,18,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
333,60111491,"
Sekolah Tinggi Teknik Surabaya
",50,50,25,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
337,60109301,"
STIE Perbanas Surabaya
",48,48,35,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
339,60190742,"
Universitas Dinamika
",47,47,37,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
353,60264402,"
Universitas Wijaya Putra
",42,42,53,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
381,60069431,"
Bernofarm Pharmaceutical Company
",31,31,28,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
441,60108564,"
Universitas Pelita Harapan Surabaya
",12,12,5,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
472,60069424,"
East Java Leprosy Control Project
",5,5,2,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:59,root,root,0
492,60267267,"
Universitas Teknologi Surabaya
",3,3,2,Surabaya,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:59,root,root,0
62,60069404,"
Universitas Kristen Petra
",878,878,573,"Surabaya, East Java",Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
125,60111193,"
Politeknik Negeri Bali
",354,354,290,Tuban,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
